CNPJ,FIRM_NAME,CVM_FIRM_TYPE,CVM_CODE,CVM_STATUS
21.240.146/0001-84,AGROGALAXY PARTICIPAÇÕES S.A,CIAS ABERTAS,025658,Concedido em 19/03/2021
23.461.411/0001-80,AGROIND BAQUIT SA,CIAS INCENTIVADAS REGISTRADAS,512664,Cancelado em 14/02/2012
23.461.411/0001-80,AGROIND BAQUIT SA,CIAS INCENTIVADAS REGISTRADAS,520420,Cancelado em 05/07/2016
04.792.719/0001-63,AGROINDL BAMA SA,CIAS INCENTIVADAS REGISTRADAS,511366,Cancelado em 21/01/1993
63.791.461/0001-40,AGROINDL BARÃO DO MELGAÇO SA,CIAS INCENTIVADAS REGISTRADAS,516317,Cancelado em 28/09/2008
08.987.190/0001-94,AGROINDL BARRO BRANCO SA,CIAS INCENTIVADAS REGISTRADAS,505749,Cancelado em 28/09/2008
10.775.997/0001-05,AGROINDL CAIANA SA,CIAS INCENTIVADAS REGISTRADAS,501085,Cancelado em 14/02/2012
15.950.058/0001-73,AGROINDL ESTRELA SA,CIAS INCENTIVADAS REGISTRADAS,510530,Cancelado em 14/02/2012
08.983.322/0001-00,AGROINDL IRMAOS ALMEIDA SA,CIAS INCENTIVADAS REGISTRADAS,503614,Cancelado em 14/02/2012
05.594.288/0001-93,AGROINDL LUIZ GUIMARAES SA,CIAS INCENTIVADAS REGISTRADAS,511820,Cancelado em 14/02/2012
04.183.513/0001-36,AGROINDL MANACAPURU SA,CIAS INCENTIVADAS REGISTRADAS,513261,Cancelado em 14/02/2012
24.272.999/0001-96,AGROINDL R. FUNDO SA-AGRISA,CIAS INCENTIVADAS REGISTRADAS,509892,Cancelado em 28/09/2008
05.220.132/0001-42,AGROINDL SA  AGROISA,CIAS INCENTIVADAS REGISTRADAS,510564,Cancelado em 14/02/2006
03.164.753/0001-20,AGROINDL SAO PAULO SA,CIAS INCENTIVADAS REGISTRADAS,505226,Cancelado em 12/10/2010
