Nome;Classe;Código;CNPJ;Nome;Tipo de Ativo;ISIN;Setor Econômico|Bovespa;Subsetor Bovespa;Segmento Bovespa
Aliperti;PN;APTI4;61156931000178;Aliperti;Ação;BRAPTIACNPR3;Consumo não cíclico;Agropecuária;Agricultura
All Am Lat Log Oeste S/A;ON;17850 ON;39115514000128;All Am Lat Log Oeste S/A;Ação;-;-;-;-
All Am Lat Log Oeste S/A;PN;17850 PN;39115514000128;All Am Lat Log Oeste S/A;Ação;-;-;-;-
All Norte;ON;FRRN3B;24962466000136;All Norte;Ação;BRFRRNACNOR5;Bens industriais;Transporte;Transporte ferroviário
All Norte;PNA;FRRN5B;24962466000136;All Norte;Ação;BRFRRNACNPA8;Bens industriais;Transporte;Transporte ferroviário
All Norte;PNB;FRRN6B;24962466000136;All Norte;Ação;BRFRRNACNPB6;Bens industriais;Transporte;Transporte ferroviário
Alliar;ON;AALR3;42771949000135;Alliar;Ação;BRAALRACNOR6;Saúde;Serviços médico-hospitalares análises e diagnósticos;Serviços médico-hospitalares análises e diagnósticos
Allied;ON;ALLD3;20247322000147;Allied;Ação;BRALLDACNOR3;Consumo cíclico;Comércio;Eletrodomésticos
Allis Part;ON;SAGP3B;8648295000119;Allis Part;Ação;BRSAGPACNOR2;-;-;-
Almeida Junior Shopping Centers S/A;ON;26395 ON;82120676000183;Almeida Junior Shopping Centers S/A;Ação;-;-;-;-
Alpargatas;ON;ALPA3;61079117000105;Alpargatas;Ação;BRALPAACNOR0;Consumo cíclico;Tecidos vestuário e calçados;Calçados
Alpargatas;PN;ALPA4;61079117000105;Alpargatas;Ação;BRALPAACNPR7;Consumo cíclico;Tecidos vestuário e calçados;Calçados
Alper S.A.;ON;APER3;11721921000160;Alper S.A.;Ação;BRAPERACNOR9;Financeiro;Previdência e seguros;Corretoras de seguros e resseguros
Alphaville;ON;AVLL3;16811931000100;Alphaville;Ação;BRAVLLACNOR5;Consumo cíclico;Construção civil;Incorporações
Altere Sec;ON;ALTR3;2783423000150;Altere Sec;Ação;-;-;-;-
Althiaia S/A Ind Farmacêutica;ON;27030 ON;48344725000719;Althiaia S/A Ind Farmacêutica;Ação;-;-;-;-
